Comment,Designator,Footprint,LCSC Part #
10k,"R1,R2,R9,R11,R13,R15,R17,R19,R22,R23",R0805,C17414
4.7k,"R6,R7",R0805,C17673
1k,"R8,R10",R0805,C17513
2.2k,"R12,R14,R16,R18",R0805,C17520
100k,"R5",R0805,C149504
220k,"R4",R0805,C17556
470,"R3",R0805,C17710
39k,"R20,R21",R0603,C23153
100nF 50V,"C2,C3,C8,C9,C11,C13,C14,C15,C16,C17,C18",C0805,C49678
1uF 50V,"C1",C0805,C28323
10uF 25V,"C4,C5,C10",C0805,C15850
22uF 25V,"C6,C7",C0805,C45783
220uF 25V,"C12",CP_Elec_8x10.5,C129421
1N4001 / M7,"D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15",D_SMA,C95872
1N4148W,"D16,D17,D18,D19",SOD-123,C81598
LED vermelho 0805,"D1",LED0805,C84256
MMBT3904,"Q1,Q2",SOT-23,C20526
AMS1117-3.3,"U2",SOT-223,C6186
LTV-817S,"U5,U6,U7,U8",SMDIP-4_W7.62mm,C109227
TS-1187A tactile,"SW1",SW_Push_1P1T_XKB_TS-1187A,C318884
