Designator,Mid X,Mid Y,Rotation,Layer
C1,101.000000,-41.950000,270.000000,top
C2,111.000000,-44.320000,270.000000,top
C3,108.500000,-40.220000,90.000000,top
C4,111.845000,-39.950000,90.000000,top
C5,152.550000,-74.000000,0.000000,top
C6,139.500000,-75.000000,270.000000,top
C7,152.500000,-72.000000,0.000000,top
C8,140.562500,-85.550000,270.000000,top
C9,139.500000,-51.320000,270.000000,top
C10,139.500000,-47.720000,90.000000,top
C11,151.000000,-105.500000,0.000000,top
C12,143.300000,-101.000000,180.000000,top
C13,105.800000,-45.450000,90.000000,top
C14,106.000000,-60.200000,90.000000,top
C15,106.000000,-71.700000,90.000000,top
C16,106.000000,-83.700000,90.000000,top
C17,127.100000,-81.000000,180.000000,top
C18,115.050000,-81.000000,180.000000,top
D1,93.062500,-40.000000,180.000000,top
D2,126.500000,-108.700000,270.000000,top
D3,126.500000,-116.200000,270.000000,top
D4,132.000000,-122.700000,0.000000,top
D5,139.500000,-122.700000,0.000000,top
D6,154.000000,-122.700000,180.000000,top
D7,147.000000,-122.700000,180.000000,top
D8,158.000000,-108.700000,270.000000,top
D9,158.000000,-116.200000,270.000000,top
D10,98.200000,-118.400000,90.000000,top
D11,120.500000,-118.500000,90.000000,top
D12,94.342500,-54.230000,270.000000,top
D13,94.342500,-65.230000,270.000000,top
D14,94.842500,-77.230000,270.000000,top
D15,94.842500,-88.730000,270.000000,top
D16,132.550000,-83.500000,180.000000,top
D17,127.050000,-83.500000,180.000000,top
D18,114.950000,-83.500000,0.000000,top
D19,120.450000,-83.500000,0.000000,top
Q1,100.800000,-99.000000,0.000000,top
Q2,119.600000,-99.000000,0.000000,top
R1,99.000000,-42.087500,90.000000,top
R2,137.000000,-51.500000,270.000000,top
R3,93.087500,-42.000000,180.000000,top
R4,143.800000,-82.200000,270.000000,top
R5,143.800000,-85.700000,270.000000,top
R6,135.087500,-45.500000,0.000000,top
R7,135.087500,-41.500000,0.000000,top
R8,96.087500,-98.000000,0.000000,top
R9,96.087500,-100.000000,180.000000,top
R10,114.912500,-98.000000,0.000000,top
R11,114.912500,-100.000000,180.000000,top
R12,90.755000,-49.230000,0.000000,top
R13,103.800000,-45.362500,90.000000,top
R14,90.755000,-60.230000,0.000000,top
R15,104.000000,-60.162500,90.000000,top
R16,90.930000,-72.230000,0.000000,top
R17,104.000000,-71.662500,90.000000,top
R18,90.930000,-83.730000,0.000000,top
R19,104.000000,-83.662500,90.000000,top
R20,129.550000,-86.912500,90.000000,top
R21,117.600000,-86.912500,90.000000,top
R22,115.087500,-79.000000,180.000000,top
R23,127.087500,-79.000000,180.000000,top
SW1,147.900000,-63.000000,0.000000,top
U2,145.537500,-74.000000,0.000000,top
U5,102.842500,-53.730000,270.000000,top
U6,102.842500,-65.230000,270.000000,top
U7,103.032500,-76.960000,270.000000,top
U8,102.842500,-88.730000,270.000000,top
